freq=21.533203 w=61.264038 
freq=32.299805 w=77.545166 
freq=43.066406 w=77.545166 
freq=53.833008 w=99.029541 
freq=64.599609 w=99.029541 
freq=75.366211 w=101.127625 
freq=86.132812 w=101.127625 
freq=96.899414 w=102.218628 
freq=107.666016 w=102.218628 
freq=118.432617 w=102.218628 
freq=129.199219 w=102.218628 
freq=139.965820 w=102.218628 
freq=150.732422 w=102.386475 
freq=161.499023 w=102.386475 
freq=172.265625 w=102.386475 
freq=183.032227 w=102.386475 
freq=193.798828 w=102.050781 
freq=204.565430 w=102.050781 
freq=215.332031 w=103.393555 
freq=226.098633 w=103.393555 
freq=236.865234 w=104.064941 
freq=247.631836 w=104.064941 
freq=258.398438 w=104.064941 
freq=269.165039 w=104.064941 
freq=279.931641 w=104.064941 
freq=290.698242 w=104.064941 
freq=301.464844 w=106.750488 
freq=312.231445 w=106.750488 
freq=322.998047 w=106.750488 
freq=333.764648 w=106.750488 
freq=344.531250 w=107.421875 
freq=355.297852 w=107.421875 
freq=366.064453 w=107.421875 
freq=376.831055 w=107.421875 
freq=387.597656 w=107.421875 
freq=398.364258 w=107.421875 
freq=409.130859 w=107.421875 
freq=419.897461 w=112.792969 
freq=430.664062 w=112.792969 
freq=441.430664 w=112.792969 
freq=452.197266 w=112.792969 
freq=462.963867 w=112.792969 
freq=473.730469 w=112.792969 
freq=484.497070 w=112.792969 
freq=495.263672 w=112.792969 
freq=506.030273 w=116.821289 
freq=516.796875 w=116.821289 
freq=527.563477 w=116.821289 
freq=538.330078 w=116.821289 
freq=549.096680 w=119.506836 
freq=559.863281 w=119.506836 
freq=570.629883 w=119.506836 
freq=581.396484 w=119.506836 
freq=592.163086 w=119.506836 
freq=602.929688 w=119.506836 
freq=613.696289 w=118.164062 
freq=624.462891 w=118.164062 
freq=635.229492 w=118.164062 
freq=645.996094 w=128.906250 
freq=656.762695 w=128.906250 
freq=667.529297 w=128.906250 
freq=678.295898 w=128.906250 
freq=689.062500 w=128.906250 
freq=699.829102 w=128.906250 
freq=710.595703 w=128.906250 
freq=721.362305 w=128.906250 
freq=732.128906 w=128.906250 
freq=742.895508 w=128.906250 
freq=753.662109 w=128.906250 
freq=764.428711 w=128.906250 
freq=775.195312 w=134.277344 
freq=785.961914 w=134.277344 
freq=796.728516 w=139.648438 
freq=807.495117 w=139.648438 
freq=818.261719 w=139.648438 
freq=829.028320 w=139.648438 
freq=839.794922 w=139.648438 
freq=850.561523 w=139.648438 
freq=861.328125 w=139.648438 
freq=872.094727 w=139.648438 
freq=882.861328 w=139.648438 
freq=893.627930 w=145.019531 
freq=904.394531 w=145.019531 
freq=915.161133 w=145.019531 
freq=925.927734 w=145.019531 
freq=936.694336 w=150.390625 
freq=947.460938 w=150.390625 
freq=958.227539 w=150.390625 
freq=968.994141 w=150.390625 
freq=979.760742 w=155.761719 
freq=990.527344 w=155.761719 
freq=1001.293945 w=158.447266 
freq=1012.060547 w=158.447266 
freq=1022.827148 w=158.447266 
freq=1033.593750 w=158.447266 
freq=1044.360352 w=163.818359 
freq=1055.126953 w=163.818359 
freq=1065.893555 w=163.818359 
freq=1076.660156 w=163.818359 
freq=1087.426758 w=163.818359 
freq=1098.193359 w=163.818359 
freq=1108.959961 w=163.818359 
freq=1119.726562 w=163.818359 
freq=1130.493164 w=163.818359 
freq=1141.259766 w=163.818359 
freq=1152.026367 w=163.818359 
freq=1162.792969 w=179.931641 
freq=1173.559570 w=179.931641 
freq=1184.326172 w=182.617188 
freq=1195.092773 w=182.617188 
freq=1205.859375 w=182.617188 
freq=1216.625977 w=182.617188 
freq=1227.392578 w=182.617188 
freq=1238.159180 w=182.617188 
freq=1248.925781 w=182.617188 
freq=1259.692383 w=182.617188 
freq=1270.458984 w=182.617188 
freq=1281.225586 w=182.617188 
freq=1291.992188 w=193.359375 
freq=1302.758789 w=193.359375 
freq=1313.525391 w=193.359375 
freq=1324.291992 w=193.359375 
freq=1335.058594 w=204.101562 
freq=1345.825195 w=204.101562 
freq=1356.591797 w=204.101562 
freq=1367.358398 w=204.101562 
freq=1378.125000 w=204.101562 
freq=1388.891602 w=204.101562 
freq=1399.658203 w=204.101562 
freq=1410.424805 w=204.101562 
freq=1421.191406 w=204.101562 
freq=1431.958008 w=214.843750 
freq=1442.724609 w=214.843750 
freq=1453.491211 w=214.843750 
freq=1464.257812 w=214.843750 
freq=1475.024414 w=214.843750 
freq=1485.791016 w=214.843750 
freq=1496.557617 w=225.585938 
freq=1507.324219 w=225.585938 
freq=1518.090820 w=225.585938 
freq=1528.857422 w=225.585938 
freq=1539.624023 w=225.585938 
